,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,1,119,125,194,137,112,128,129,173,100,86,82,137,110,78,118,144,136,99,89,141
1,2,161,191,115,99,332,168,120,129,217,140,143,125,289,225,116,136,215,194,162,179
2,3,158,150,157,109,168,69,134,124,106,130,143,132,114,119,82,110,186,156,127,124
3,4,170,148,109,176,177,134,238,231,160,199,211,286,133,150,131,112,158,211,170,167
4,5,182,170,198,202,161,148,250,195,131,104,151,166,153,153,123,137,112,105,169,175
5,6,219,250,269,96,219,298,265,220,218,305,208,240,260,259,290,366,217,236,362,267
6,7,220,310,216,137,318,280,122,155,166,186,169,208,153,165,176,153,122,154,129,148
7,8,187,89,199,208,119,165,132,171,118,92,118,144,155,135,149,102,136,113,232,167
8,9,218,185,132,143,144,180,160,179,232,180,164,138,177,144,184,138,153,114,153,100
9,10,150,151,145,129,174,142,128,112,205,224,156,120,180,196,152,169,97,127,151,197
10,11,147,91,158,203,330,187,202,219,307,308,241,208,218,130,161,321,106,144,210,186
11,12,127,143,147,149,132,164,166,154,178,149,162,96,145,250,350,240,72,125,191,194
12,13,185,130,169,141,137,165,164,174,101,104,104,157,157,148,173,142,180,142,128,155
13,14,174,134,157,139,144,135,147,136,152,158,85,131,122,136,121,149,132,106,127,161
14,15,156,134,153,143,126,136,139,122,129,135,144,120,94,88,120,100,194,133,123,154
15,16,172,198,218,154,197,211,234,200,250,279,256,152,365,380,242,211,184,139,165,141
16,17,174,159,166,141,207,161,173,182,125,187,163,160,93,198,203,164,143,148,149,155
17,18,123,164,178,174,143,162,195,170,125,138,113,142,155,153,131,185,142,113,138,149
18,19,142,92,136,147,134,84,103,117,108,111,102,119,133,135,162,179,301,176,163,164
19,20,186,165,101,130,156,150,134,160,157,134,127,183,154,124,214,382,140,242,364,383
20,21,147,132,168,114,135,156,196,106,125,166,226,115,133,230,242,132,154,208,152,136
21,22,122,127,132,185,138,100,100,191,162,79,101,216,115,65,120,205,120,66,125,226
22,23,119,80,134,197,174,103,133,166,155,111,95,211,334,115,104,160,197,113,105,121
23,24,124,136,111,151,163,113,115,127,154,111,148,134,139,105,145,145,123,113,141,136
24,25,83,127,131,114,101,171,166,73,272,265,165,116,351,321,254,234,207,283,358,312
25,26,114,230,232,141,148,222,136,116,195,211,93,180,216,200,209,193,200,208,139,186
26,27,213,177,227,180,176,149,209,187,172,203,192,279,116,108,155,159,242,262,209,182
27,28,324,196,201,198,227,208,175,170,161,162,184,215,167,170,146,198,119,167,148,159
28,29,96,117,196,205,108,122,166,186,79,95,152,207,190,102,128,235,160,129,117,149
29,30,165,199,107,143,166,215,221,148,179,343,247,267,351,291,381,347,283,206,199,179
