,fov,spot_id,Ascending.vasa.recta.endothelium,B-cell,Connecting.tubule,Descending.vasa.recta.endothelium,Distinct.proximal.tubule.1,Distinct.proximal.tubule.2,Epithelial.progenitor.cell,Fibroblast,Glomerular.endothelium,Indistinct.intercalated.cell,MNP.a.classical.monocyte.derived,MNP.b.non.classical.monocyte.derived,MNP.c.dendritic.cell,Myofibroblast,NK,Pelvic.epithelium,Peritubular.capillary.endothelium.1,Peritubular.capillary.endothelium.2,Podocyte,Principal.cell,Proliferating.Proximal.Tubule,Proximal.tubule,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Thick.ascending.limb.of.Loop.of.Henle,Transitional.urothelium,Treg,Type.A.intercalated.cell,Type.B.intercalated.cell,mDC,macrophage,mast,monocyte,pDC,plasmablast
0,18.0,1.0,8.0,0.0,26.0,2.0,4.0,4.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,24.0,11.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,18.0,2.0,10.0,0.0,23.0,0.0,28.0,9.0,10.0,21.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,0.0,3.0,0.0,3.0,19.0,17.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.0,3.0,3.0,0.0,6.0,1.0,3.0,2.0,11.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,1.0,2.0,17.0,9.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,18.0,5.0,3.0,0.0,3.0,3.0,11.0,8.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,1.0,30.0,44.0,15.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
5,18.0,6.0,24.0,0.0,11.0,5.0,19.0,11.0,4.0,3.0,12.0,0.0,2.0,0.0,1.0,11.0,0.0,1.0,8.0,1.0,22.0,1.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,18.0,7.0,20.0,1.0,45.0,10.0,17.0,7.0,13.0,21.0,7.0,0.0,0.0,0.0,1.0,30.0,0.0,1.0,14.0,1.0,9.0,22.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
7,18.0,8.0,4.0,0.0,12.0,2.0,3.0,8.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,12.0,32.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8,18.0,9.0,6.0,0.0,5.0,1.0,17.0,11.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,27.0,29.0,13.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0
9,18.0,10.0,13.0,0.0,6.0,3.0,12.0,15.0,7.0,3.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,4.0,2.0,7.0,1.0,45.0,15.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
