,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,1,147,132,110,192,206,193,45,194,226,173,161,188,241,207,177,224,223,237,234,78
1,2,304,305,242,229,117,190,196,31,236,208,206,151,180,298,261,210,156,155,249,289
2,3,208,156,191,154,148,199,178,187,186,196,192,243,212,193,164,169,151,186,170,204
3,4,146,154,193,182,166,147,149,145,177,184,175,218,152,163,192,175,77,169,136,98
4,5,312,237,177,254,260,250,249,148,243,228,222,228,267,234,297,317,97,181,209,194
5,6,178,154,189,104,256,200,247,105,268,63,66,131,219,113,151,118,270,268,203,181
6,7,171,198,174,290,230,271,209,226,238,149,171,121,108,243,236,233,186,140,253,258
7,8,255,206,225,199,189,221,196,191,201,176,227,163,117,177,300,152,154,167,240,142
8,9,245,287,258,171,204,103,142,150,81,151,212,233,123,284,271,265,112,244,265,336
9,10,149,218,280,283,147,230,295,236,112,211,295,269,138,150,267,212,202,193,179,200
10,11,216,252,253,330,178,276,198,247,146,226,254,248,211,178,255,248,175,144,254,249
11,12,163,232,186,250,190,197,227,207,201,181,241,128,189,168,146,135,135,175,175,198
12,13,133,69,191,106,117,119,55,171,210,216,240,268,317,324,308,255,272,231,241,321
13,14,252,214,166,228,247,265,198,294,281,220,216,207,297,244,285,198,306,214,180,203
14,15,220,240,211,229,230,262,211,205,220,252,187,256,265,216,259,214,234,275,234,180
15,16,184,210,247,246,158,134,214,246,153,299,220,209,158,165,199,195,153,184,135,199
16,17,135,183,193,231,242,223,183,226,269,224,228,226,215,251,246,220,296,278,238,197
17,18,242,239,214,235,210,293,227,215,251,250,316,252,285,285,306,229,269,214,237,243
18,19,268,262,267,257,248,249,242,279,203,232,179,236,224,178,172,216,177,208,201,195
19,20,274,257,237,214,205,236,267,212,226,259,251,75,216,256,149,1,205,278,187,0
