,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,13,93,251,211,114,269,266,210,279,178,191,155,170,198,165,168,237,220,181,130,60
1,14,0,62,163,200,121,169,195,211,233,169,223,184,206,213,160,197,160,141,119,18
2,15,33,92,160,159,109,147,166,137,140,138,165,152,126,121,54,8,145,21,0,0
3,16,0,34,95,98,76,138,128,166,110,66,85,155,63,63,101,107,111,67,10,53
4,17,16,58,53,114,19,78,95,122,60,100,101,110,65,61,109,114,54,88,84,94
5,18,96,137,164,144,80,91,108,97,115,106,161,122,137,131,93,0,48,149,8,0
6,19,64,165,150,184,65,170,171,207,103,134,159,162,177,175,178,64,217,144,9,0
7,20,11,15,75,169,93,120,195,149,138,174,140,174,148,128,123,2,150,55,0,0
8,21,182,212,188,135,197,256,228,152,157,204,225,129,155,150,198,149,8,81,87,94
9,22,153,56,4,51,213,133,211,238,229,155,161,168,169,146,181,160,0,27,92,114
10,23,2,0,39,114,147,77,126,193,213,218,175,169,182,249,210,225,159,150,121,58
11,24,28,73,147,146,216,210,185,228,222,239,203,118,186,196,216,144,142,47,25,1
12,25,0,2,45,102,39,81,107,114,120,100,79,85,98,82,98,29,98,49,33,52
