,fov,spot_id,Ascending.vasa.recta.endothelium,B-cell,Connecting.tubule,Descending.vasa.recta.endothelium,Distinct.proximal.tubule.1,Distinct.proximal.tubule.2,Epithelial.progenitor.cell,Fibroblast,Glomerular.endothelium,Indistinct.intercalated.cell,MNP.a.classical.monocyte.derived,MNP.b.non.classical.monocyte.derived,MNP.c.dendritic.cell,Myofibroblast,NK,Pelvic.epithelium,Peritubular.capillary.endothelium.1,Peritubular.capillary.endothelium.2,Podocyte,Principal.cell,Proliferating.Proximal.Tubule,Proximal.tubule,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Thick.ascending.limb.of.Loop.of.Henle,Transitional.urothelium,Treg,Type.A.intercalated.cell,Type.B.intercalated.cell,mDC,macrophage,mast,monocyte,neutrophil,pDC,plasmablast
0,13.0,1.0,2.0,0.0,9.0,2.0,13.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,6.0,3.0,0.0,3.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,13.0,2.0,7.0,1.0,28.0,4.0,63.0,9.0,8.0,5.0,0.0,0.0,0.0,1.0,4.0,13.0,0.0,1.0,13.0,1.0,1.0,8.0,48.0,17.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,13.0,3.0,6.0,0.0,15.0,0.0,38.0,16.0,5.0,22.0,0.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,10.0,1.0,0.0,21.0,35.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,13.0,4.0,2.0,0.0,10.0,0.0,7.0,0.0,7.0,41.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,2.0,0.0,1.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,13.0,5.0,7.0,0.0,58.0,1.0,34.0,15.0,28.0,4.0,1.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,4.0,3.0,0.0,21.0,28.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,13.0,6.0,13.0,0.0,10.0,0.0,78.0,23.0,19.0,3.0,16.0,1.0,0.0,0.0,4.0,19.0,0.0,0.0,9.0,1.0,44.0,2.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13.0,7.0,8.0,1.0,11.0,0.0,38.0,23.0,64.0,4.0,3.0,0.0,1.0,1.0,9.0,9.0,0.0,3.0,2.0,2.0,8.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
7,13.0,8.0,15.0,0.0,14.0,3.0,68.0,20.0,54.0,6.0,2.0,0.0,0.0,1.0,13.0,13.0,0.0,1.0,8.0,0.0,1.0,20.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13.0,9.0,6.0,0.0,4.0,0.0,46.0,21.0,35.0,15.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,4.0,0.0,1.0,0.0,13.0,20.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,13.0,10.0,5.0,1.0,3.0,1.0,66.0,26.0,33.0,6.0,0.0,0.0,2.0,1.0,5.0,5.0,0.0,0.0,2.0,0.0,0.0,9.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
10,13.0,11.0,2.0,0.0,10.0,0.0,62.0,25.0,6.0,1.0,1.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0,3.0,1.0,0.0,6.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13.0,12.0,2.0,0.0,0.0,1.0,77.0,20.0,17.0,2.0,0.0,0.0,1.0,0.0,4.0,7.0,0.0,1.0,1.0,2.0,1.0,2.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,13.0,9.0,0.0,0.0,0.0,83.0,12.0,25.0,7.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,8.0,0.0,0.0,0.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
