,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep.1,Hep.3,Hep.4,Hep.5,Hep.6,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1
0,100,1,0,2,2,1,1,5,12,52,35,5,1,1,1,7,0,0,0,4,2
1,100,2,1,3,2,0,0,0,6,81,43,2,4,0,2,4,0,0,0,3,2
2,100,3,0,6,0,3,1,0,7,73,53,1,1,1,2,8,0,0,0,5,0
3,100,4,0,5,6,0,3,5,6,50,38,2,2,1,0,3,0,0,1,3,3
4,100,5,0,6,1,0,0,1,8,44,48,1,0,0,1,6,0,0,0,4,2
5,100,6,0,5,5,0,1,5,6,49,50,4,5,4,4,6,0,0,0,2,2
6,100,7,0,4,0,0,0,3,5,64,39,0,1,2,2,3,0,0,0,3,1
7,100,8,0,5,4,0,1,4,6,57,40,3,3,1,2,7,0,0,0,4,2
8,100,9,1,5,1,0,3,0,15,62,28,3,1,2,3,2,0,0,0,2,2
9,101,1,0,8,2,0,1,1,5,63,38,2,4,2,2,7,0,0,0,7,0
10,101,2,0,2,2,0,0,0,3,57,44,3,1,2,3,4,0,0,0,3,0
11,101,3,0,3,1,0,1,1,5,66,50,2,4,3,0,6,0,0,0,2,1
12,101,4,0,5,1,0,0,5,6,60,39,1,0,0,1,1,0,0,0,4,1
13,101,5,0,7,0,0,1,0,4,57,42,3,3,0,1,8,0,0,0,3,0
14,101,6,0,5,0,0,1,2,4,77,46,4,2,0,1,4,0,0,0,7,0
15,101,7,0,5,0,0,0,28,12,35,31,2,2,3,1,0,0,0,0,4,0
16,101,8,0,9,2,0,0,6,6,52,46,1,1,1,1,8,0,0,0,2,2
17,101,9,0,3,2,0,0,2,1,58,63,5,3,0,2,3,0,0,0,4,1
18,102,1,0,3,5,0,0,25,15,37,18,2,2,1,3,4,0,0,1,6,0
19,102,2,0,6,1,4,0,2,13,56,35,0,1,1,0,6,0,3,1,9,1
20,102,3,0,1,2,0,0,4,7,56,54,2,0,0,2,2,0,0,0,9,2
21,102,4,0,1,0,0,0,3,9,45,53,2,1,0,0,5,0,0,0,1,1
22,102,5,2,6,0,5,0,1,9,39,41,0,3,1,1,0,0,10,0,14,0
23,102,6,0,1,2,0,1,5,3,62,44,3,0,1,0,7,0,0,0,4,1
24,102,7,0,7,3,0,2,1,4,53,49,4,1,1,2,4,0,0,1,0,3
25,102,8,0,6,0,0,1,6,7,53,44,6,2,0,0,5,0,0,0,2,0
26,102,9,0,9,2,0,1,1,6,62,38,5,3,0,1,6,0,0,1,4,1
27,103,1,0,7,4,0,0,5,4,41,42,4,2,0,0,1,0,0,0,2,2
28,103,2,0,6,6,0,0,5,5,44,39,6,1,1,1,1,0,0,0,4,1
29,103,3,1,7,0,0,1,5,6,53,36,3,3,0,0,6,0,0,1,5,3
30,103,4,3,4,3,0,0,18,7,39,19,1,2,2,0,4,0,0,0,10,1
31,103,5,0,2,5,0,1,31,18,35,14,0,5,0,0,0,0,0,2,3,0
32,103,6,0,3,4,0,0,7,3,55,43,2,1,1,1,3,0,0,0,5,7
33,103,7,0,3,4,0,1,17,10,55,30,4,3,2,0,9,0,0,0,3,1
34,103,8,0,7,4,0,1,25,10,34,27,0,2,0,2,6,0,0,0,4,1
35,103,9,0,3,2,0,1,3,6,54,59,3,4,0,2,4,0,0,0,1,5
36,104,1,0,2,2,0,1,1,4,59,60,2,0,1,2,6,0,0,0,4,1
37,104,2,0,2,3,0,2,2,5,47,53,3,3,2,2,4,0,0,0,3,2
38,104,3,0,2,4,0,0,17,8,53,38,0,1,0,0,4,0,0,0,5,0
39,104,4,0,8,2,2,0,0,5,55,39,3,6,2,0,1,0,19,1,20,0
40,104,5,0,3,1,0,0,7,10,51,47,3,1,0,2,3,0,0,0,2,2
41,104,6,0,7,3,0,0,55,13,28,5,1,2,1,1,2,0,0,2,6,0
42,104,7,0,7,0,0,2,2,6,61,55,4,5,1,1,3,0,2,0,4,0
43,104,8,0,3,4,0,1,3,2,67,52,2,2,2,1,1,0,0,0,4,2
44,104,9,0,2,1,0,1,22,6,70,30,0,1,2,2,1,0,0,0,2,1
171,118,1,0,5,6,0,0,21,10,54,28,1,1,3,3,4,0,0,0,6,2
172,118,2,0,4,3,0,1,2,8,53,42,3,1,4,2,3,0,0,0,3,5
173,118,3,1,4,2,0,1,9,2,54,49,2,1,0,0,1,0,1,0,4,0
174,118,4,0,3,0,0,0,2,7,65,40,0,5,0,2,6,0,0,0,5,3
175,118,5,0,4,0,0,1,0,6,68,57,1,2,0,2,5,0,0,0,2,0
176,118,6,0,5,3,0,0,2,6,83,56,1,0,2,0,2,0,0,0,0,0
177,118,7,0,4,1,6,1,2,9,66,51,0,2,0,1,3,0,8,0,12,1
178,118,8,0,6,0,0,1,3,5,91,59,4,1,3,1,3,0,0,0,2,1
179,118,9,0,4,2,0,2,6,3,72,52,2,2,2,0,4,0,0,0,1,3
180,119,1,1,2,0,0,0,2,10,65,31,2,1,2,0,1,0,8,0,11,1
181,119,2,0,1,4,0,0,12,11,52,38,4,1,0,0,0,0,0,0,3,1
182,119,3,0,3,3,0,0,9,5,55,42,1,2,0,1,4,0,0,0,4,1
183,119,4,0,4,0,10,0,0,10,64,39,2,1,0,0,2,0,7,1,14,0
184,119,5,0,1,2,0,0,9,5,57,45,5,4,0,0,5,0,0,0,1,3
185,119,6,0,5,3,0,0,44,10,35,14,1,4,0,0,2,0,0,0,5,0
186,119,7,0,6,0,2,1,2,15,81,51,1,1,0,1,5,0,0,0,4,1
187,119,8,0,2,1,2,0,1,12,77,49,2,3,2,0,2,0,1,0,2,4
188,119,9,0,3,1,0,0,4,5,74,51,2,2,0,0,4,0,0,0,3,1
189,11,1,0,9,4,0,0,7,4,37,65,5,1,1,3,3,0,0,0,3,3
190,11,2,1,2,3,0,1,2,14,43,49,9,1,2,2,4,0,0,0,4,1
191,11,3,0,4,0,7,1,1,5,51,74,7,2,1,2,2,0,4,0,13,0
192,11,4,0,8,6,0,2,22,15,26,32,3,4,1,1,2,0,0,2,6,1
193,11,5,0,4,3,0,1,11,6,35,52,5,3,0,2,1,0,0,0,2,3
194,11,6,0,6,3,0,1,2,6,41,56,11,4,0,3,2,0,0,1,0,4
195,11,7,0,6,4,0,0,33,12,32,21,7,1,1,1,1,0,0,0,5,1
196,11,8,0,5,2,0,0,6,4,43,51,6,2,0,0,3,0,0,0,2,3
197,11,9,0,1,0,5,0,2,6,52,60,2,1,1,1,1,0,1,0,8,1
198,120,1,0,4,1,0,0,9,9,61,32,0,1,1,3,2,0,0,3,7,1
199,120,2,0,6,2,0,1,2,7,62,33,2,0,4,1,3,0,0,0,3,1
200,120,3,2,5,0,3,1,0,15,78,39,1,1,2,0,7,0,5,0,6,1
201,120,4,0,5,6,0,2,9,9,43,25,1,4,1,1,3,0,0,0,8,1
202,120,5,0,7,2,0,0,13,15,35,25,4,2,0,0,5,0,0,1,3,0
203,120,6,1,2,0,3,2,3,7,73,47,1,1,0,0,4,0,3,0,2,2
204,120,7,1,3,2,0,0,10,17,66,19,2,2,1,1,3,0,0,0,2,2
205,120,8,0,6,6,0,1,12,11,50,26,2,5,0,2,2,0,0,0,5,2
206,120,9,0,9,1,0,0,5,11,74,50,3,2,3,0,3,0,0,0,0,0
207,121,1,0,13,4,0,0,3,13,59,36,2,0,1,2,4,0,0,0,2,0
208,121,2,0,2,7,0,0,3,9,63,30,1,0,1,1,4,0,0,0,5,1
209,121,3,0,8,1,0,0,3,14,55,51,5,2,3,2,1,0,0,0,7,0
210,121,4,0,5,0,2,0,0,12,60,31,2,2,3,3,6,0,0,0,10,2
211,121,5,0,4,4,1,1,0,13,50,44,3,4,2,3,2,0,0,0,9,1
212,121,6,0,4,2,1,1,3,7,54,44,1,2,1,0,10,0,1,0,4,2
213,121,7,0,9,2,0,1,0,10,46,49,1,5,2,1,3,0,0,0,6,1
214,121,8,0,5,1,0,2,1,9,61,55,2,1,2,0,6,0,0,0,6,0
215,121,9,0,2,2,0,0,2,9,72,40,2,3,2,2,8,0,0,0,4,0
216,122,1,0,2,2,5,0,0,10,49,47,2,2,2,0,3,0,0,0,20,3
217,122,2,0,4,3,1,1,1,6,65,50,2,2,2,1,3,0,0,0,5,2
218,122,3,0,9,1,3,1,0,7,51,43,5,0,1,0,3,0,0,0,4,2
219,122,4,0,3,0,0,0,1,14,45,45,1,0,2,2,4,0,0,0,2,1
220,122,5,0,9,2,0,0,7,6,46,33,2,2,1,0,2,0,0,0,2,0
221,122,6,0,8,3,0,0,8,23,38,29,3,3,3,1,2,0,0,0,2,1
222,122,7,0,5,1,0,2,6,6,57,43,4,2,1,0,6,0,0,0,2,2
223,122,8,0,2,2,0,1,21,10,50,28,2,3,0,2,2,0,0,0,8,0
224,122,9,0,1,0,0,1,25,7,46,17,3,2,1,1,2,0,0,0,4,3
225,123,1,0,4,2,0,0,12,7,38,33,3,1,1,2,1,0,0,1,3,0
226,123,2,0,14,3,0,0,40,5,26,6,0,0,2,1,0,0,0,2,11,0
227,123,3,0,3,2,0,0,20,11,50,22,6,1,1,2,4,0,0,0,4,0
228,123,4,1,2,3,0,0,30,10,33,19,1,2,2,0,1,0,0,1,6,2
229,123,5,0,7,3,0,0,38,15,26,11,1,3,1,1,2,0,0,1,7,3
230,123,6,0,7,3,0,3,10,10,45,35,3,3,0,1,3,0,0,0,2,0
231,123,7,0,6,6,0,1,10,6,54,40,4,4,1,1,6,0,0,0,4,1
232,123,8,0,2,4,0,0,5,13,61,35,4,1,1,0,4,0,0,0,4,0
233,123,9,1,3,2,0,2,0,6,67,52,4,2,1,1,9,0,0,0,2,1
234,124,1,0,2,1,0,3,4,5,64,41,3,0,1,0,6,0,0,0,1,3
235,124,2,0,4,0,1,0,0,10,52,42,1,1,0,0,6,0,1,0,9,0
236,124,3,0,2,1,0,1,0,6,64,63,3,1,0,1,4,0,0,0,2,1
237,124,4,0,5,0,0,0,1,6,54,52,6,5,0,2,7,0,0,0,4,1
238,124,5,1,12,1,12,1,0,13,54,29,0,3,0,1,1,0,10,0,21,0
239,124,6,0,6,1,0,0,0,5,71,47,1,0,0,1,8,0,0,0,8,1
240,124,7,0,6,0,3,2,1,7,78,45,0,2,0,0,3,0,6,0,7,0
241,124,8,2,6,0,7,1,1,10,67,33,5,6,2,0,2,0,15,1,17,0
242,124,9,0,8,1,8,0,2,12,50,37,1,2,1,1,1,0,11,1,25,1
243,125,1,0,2,2,0,1,0,11,49,42,1,0,3,0,6,0,0,0,7,2
244,125,2,0,3,2,0,0,2,9,49,49,4,4,1,2,7,0,0,0,5,1
245,125,3,0,7,0,11,0,1,5,65,61,2,2,3,0,4,0,0,0,9,1
246,125,4,0,0,6,0,0,28,5,50,36,1,0,1,2,1,0,0,1,5,0
247,125,5,0,7,2,0,0,3,5,50,43,1,1,1,0,7,0,0,0,4,2
248,125,6,0,3,3,0,0,6,5,58,55,0,0,0,0,5,0,0,0,2,0
249,125,7,0,1,6,0,2,32,5,53,29,1,1,2,0,8,0,0,0,6,0
250,125,8,0,10,3,0,2,30,13,29,7,1,1,1,0,5,0,0,1,1,0
251,125,9,1,10,5,0,1,37,11,27,11,2,4,2,1,0,0,0,1,5,1
288,12,1,2,4,2,0,0,4,8,39,52,2,0,1,1,4,0,0,0,6,4
289,12,2,0,4,3,0,0,0,6,45,43,1,9,1,4,3,0,0,0,6,3
290,12,3,0,5,1,0,0,3,7,55,55,1,0,0,0,4,0,1,0,4,2
291,12,4,0,3,3,0,1,3,8,36,57,3,2,2,3,3,0,0,0,4,3
292,12,5,0,5,1,0,2,5,8,45,62,1,2,0,2,6,0,0,0,3,2
293,12,6,0,9,1,0,0,1,5,53,68,3,1,0,0,4,0,0,0,4,2
294,12,7,0,4,1,0,0,1,11,79,48,1,0,0,0,6,0,0,0,9,1
295,12,8,0,5,4,6,1,0,7,50,63,2,5,0,2,7,0,2,0,8,1
296,12,9,0,5,1,0,0,7,13,56,44,4,5,0,0,6,0,0,0,3,5
378,139,1,2,4,1,0,1,23,7,24,13,0,2,0,1,0,0,3,0,8,0
379,139,2,0,2,2,0,0,23,9,24,16,0,1,1,1,2,0,0,0,12,1
380,139,3,0,6,3,0,1,1,5,88,50,2,1,2,3,4,0,0,0,5,4
381,139,4,0,3,4,0,1,24,4,59,28,1,2,3,0,1,0,0,0,5,0
382,139,5,0,2,4,1,0,18,5,54,39,0,2,0,0,0,0,0,1,4,0
383,139,6,0,6,5,0,0,2,4,75,55,2,3,1,2,3,0,0,0,3,0
384,139,7,0,8,2,0,1,2,10,55,43,3,3,3,2,3,0,0,0,3,2
385,139,8,0,5,1,0,0,2,5,71,48,2,3,0,0,8,0,0,0,3,2
386,139,9,0,3,1,0,1,4,5,75,60,4,1,1,2,3,0,0,0,6,2
387,13,1,5,12,0,8,0,0,12,16,7,0,3,0,1,1,0,26,0,30,1
388,13,2,0,4,1,4,0,0,16,46,33,0,4,0,2,2,0,11,0,10,2
389,13,3,0,3,3,0,0,0,15,58,57,3,1,1,0,3,0,0,0,5,1
390,13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0
391,13,5,2,6,0,4,0,0,1,2,2,0,1,2,2,0,0,9,2,10,0
392,13,6,0,7,0,4,0,1,9,72,45,3,2,0,1,3,0,9,0,20,1
393,13,7,3,7,1,8,0,0,4,18,7,0,5,0,1,0,0,15,0,17,1
394,13,8,5,17,1,8,1,0,4,22,27,1,9,3,1,2,0,16,0,19,0
395,13,9,0,4,2,1,0,0,9,71,54,5,1,2,1,3,0,5,1,10,0
396,140,1,0,4,4,0,0,4,5,48,44,2,1,1,0,3,0,0,0,3,2
397,140,2,0,2,2,2,0,1,5,62,52,0,1,0,0,3,0,0,0,7,4
398,140,3,0,6,1,12,0,0,9,74,39,2,1,0,0,1,0,3,0,22,0
399,140,4,0,4,6,0,0,32,7,40,16,3,4,1,1,4,0,0,0,4,2
400,140,5,0,2,2,0,0,6,6,36,54,5,3,1,1,3,0,0,0,5,1
401,140,6,4,18,1,17,1,0,7,42,35,0,4,4,1,4,0,15,0,20,0
402,140,7,0,5,2,0,1,6,8,69,35,2,6,3,1,7,0,0,0,1,2
403,140,8,0,1,2,0,0,6,10,46,53,2,2,2,1,8,0,0,0,2,0
404,140,9,1,1,2,1,0,0,7,78,37,1,2,3,0,2,0,5,0,12,1
405,141,1,1,1,0,7,1,0,12,64,31,0,1,2,2,3,0,3,0,10,1
406,141,2,0,4,4,0,0,5,4,56,38,1,4,2,1,5,0,0,0,2,2
407,141,3,0,1,2,0,1,2,7,77,42,3,0,0,3,6,0,0,0,2,0
408,141,4,0,1,1,3,0,1,14,54,38,2,1,0,1,2,0,2,0,6,1
409,141,5,0,5,1,0,1,9,13,46,43,0,0,2,1,4,0,0,0,2,1
410,141,6,0,3,2,0,0,21,11,44,33,3,3,1,0,1,0,0,0,3,0
411,141,7,0,5,0,0,0,1,9,69,44,2,3,0,0,3,0,0,0,2,0
412,141,8,0,2,0,0,1,14,3,51,44,6,4,1,1,4,0,0,0,3,0
413,141,9,0,5,3,0,0,42,13,34,12,0,0,0,4,1,0,0,2,9,0
414,142,1,0,9,0,3,1,1,12,60,33,4,1,2,1,4,0,0,0,12,1
415,142,2,0,8,5,0,2,1,5,34,53,6,4,2,2,6,0,0,0,5,1
416,142,3,0,1,0,0,0,3,8,59,47,1,1,0,1,3,0,0,0,3,0
417,142,4,0,6,5,1,0,2,5,48,41,6,2,2,3,5,0,0,0,8,1
418,142,5,0,4,0,0,0,2,10,53,46,3,6,3,4,10,0,0,0,4,2
419,142,6,0,2,1,5,0,0,6,74,51,1,1,1,0,1,0,0,0,7,0
420,142,7,0,2,1,0,1,4,8,65,36,4,5,1,1,8,0,0,0,4,1
421,142,8,0,4,0,5,1,0,6,77,56,1,3,0,0,4,0,0,0,9,0
422,142,9,0,4,0,1,1,0,17,85,41,3,1,1,1,2,0,3,1,11,0
423,143,1,0,6,1,1,0,0,13,57,34,5,2,1,2,4,0,0,0,4,1
424,143,2,0,5,0,0,0,3,5,59,47,1,3,3,1,2,0,0,0,0,2
425,143,3,0,3,4,0,0,7,3,60,55,1,2,0,0,2,0,0,0,2,0
426,143,4,0,7,2,0,1,16,15,41,29,1,2,3,2,3,0,0,0,3,2
427,143,5,0,5,2,0,0,36,7,50,25,0,2,0,1,2,0,0,2,2,0
428,143,6,0,7,5,0,0,17,9,44,44,3,3,1,0,1,0,0,0,1,0
429,143,7,0,4,1,0,1,29,9,34,9,2,1,1,1,2,0,0,2,1,1
430,143,8,0,8,1,0,0,60,10,24,7,1,1,2,0,3,0,0,0,3,0
431,143,9,0,2,2,0,1,28,6,41,28,3,1,0,0,5,0,0,0,3,2
432,144,1,0,2,2,0,1,5,5,54,38,1,4,2,0,3,0,0,0,1,2
433,144,2,0,0,3,0,3,8,9,45,39,1,1,3,0,4,0,0,0,2,1
434,144,3,0,0,1,0,0,5,9,49,44,0,1,1,1,3,0,0,0,2,1
435,144,4,0,8,1,1,0,2,9,59,52,2,2,2,3,2,0,1,0,2,2
436,144,5,0,4,0,2,0,3,7,63,45,0,5,3,2,7,0,1,0,2,2
437,144,6,0,6,0,1,1,3,1,74,47,2,0,2,1,2,0,0,0,1,3
438,144,7,0,5,1,9,1,0,13,69,36,0,0,2,1,1,0,6,0,10,1
439,144,8,0,4,0,1,0,0,10,64,45,2,1,0,1,5,0,0,0,7,1
440,144,9,0,3,1,1,1,0,3,85,47,3,1,0,0,4,0,0,0,6,0
441,145,1,2,1,0,2,0,1,7,58,48,1,0,1,0,5,0,0,0,2,0
442,145,2,0,4,0,5,2,0,12,55,45,2,4,0,0,3,0,5,0,17,0
443,145,3,0,4,1,0,0,0,6,59,53,2,0,1,1,3,0,0,0,5,0
444,145,4,0,4,0,0,0,0,4,74,42,0,0,1,1,5,0,3,0,6,0
445,145,5,0,4,0,4,0,0,4,66,47,1,2,1,1,0,0,3,0,9,1
446,145,6,0,5,1,0,2,1,8,57,50,1,0,1,0,6,0,0,0,1,0
447,145,7,0,4,3,0,1,0,7,60,48,1,1,2,0,7,0,1,0,5,1
448,145,8,0,7,4,0,2,3,5,54,59,2,2,1,1,6,0,0,0,4,0
449,145,9,0,6,1,0,2,4,6,46,46,3,2,1,0,4,0,0,0,3,1
450,146,1,0,2,2,2,2,1,8,56,49,0,2,0,1,4,0,1,0,2,1
451,146,2,0,0,0,8,1,0,7,59,53,0,3,1,0,4,0,4,0,10,0
452,146,3,0,3,1,1,0,1,4,64,68,2,1,1,0,1,0,0,0,2,0
453,146,4,0,3,6,0,0,3,6,43,44,2,1,2,2,2,0,0,0,5,1
454,146,5,3,14,0,3,1,3,7,34,48,0,4,2,1,2,0,6,0,12,0
455,146,6,1,10,2,14,0,0,12,46,20,0,10,1,1,1,0,24,0,28,1
456,146,7,0,5,1,0,0,41,13,28,18,0,0,3,0,2,0,0,2,7,1
