,fov,spot_id,x,y
0,100,1,16,49
1,100,2,17,49
2,100,3,18,49
3,100,4,16,50
4,100,5,17,50
5,100,6,18,50
6,100,7,16,51
7,100,8,17,51
8,100,9,18,51
9,101,1,16,52
10,101,2,17,52
11,101,3,18,52
12,101,4,16,53
13,101,5,17,53
14,101,6,18,53
15,101,7,16,54
16,101,8,17,54
17,101,9,18,54
18,102,1,16,55
19,102,2,17,55
20,102,3,18,55
21,102,4,16,56
22,102,5,17,56
23,102,6,18,56
24,102,7,16,57
25,102,8,17,57
26,102,9,18,57
27,103,1,16,58
28,103,2,17,58
29,103,3,18,58
30,103,4,16,59
31,103,5,17,59
32,103,6,18,59
33,103,7,16,60
34,103,8,17,60
35,103,9,18,60
36,104,1,16,61
37,104,2,17,61
38,104,3,18,61
39,104,4,16,62
40,104,5,17,62
41,104,6,18,62
42,104,7,16,63
43,104,8,17,63
44,104,9,18,63
171,118,1,19,40
172,118,2,20,40
173,118,3,21,40
174,118,4,19,41
175,118,5,20,41
176,118,6,21,41
177,118,7,19,42
178,118,8,20,42
179,118,9,21,42
180,119,1,19,43
181,119,2,20,43
182,119,3,21,43
183,119,4,19,44
184,119,5,20,44
185,119,6,21,44
186,119,7,19,45
187,119,8,20,45
188,119,9,21,45
189,11,1,4,34
190,11,2,5,34
191,11,3,6,34
192,11,4,4,35
193,11,5,5,35
194,11,6,6,35
195,11,7,4,36
196,11,8,5,36
197,11,9,6,36
198,120,1,19,46
199,120,2,20,46
200,120,3,21,46
201,120,4,19,47
202,120,5,20,47
203,120,6,21,47
204,120,7,19,48
205,120,8,20,48
206,120,9,21,48
207,121,1,19,49
208,121,2,20,49
209,121,3,21,49
210,121,4,19,50
211,121,5,20,50
212,121,6,21,50
213,121,7,19,51
214,121,8,20,51
215,121,9,21,51
216,122,1,19,52
217,122,2,20,52
218,122,3,21,52
219,122,4,19,53
220,122,5,20,53
221,122,6,21,53
222,122,7,19,54
223,122,8,20,54
224,122,9,21,54
225,123,1,19,55
226,123,2,20,55
227,123,3,21,55
228,123,4,19,56
229,123,5,20,56
230,123,6,21,56
231,123,7,19,57
232,123,8,20,57
233,123,9,21,57
234,124,1,19,58
235,124,2,20,58
236,124,3,21,58
237,124,4,19,59
238,124,5,20,59
239,124,6,21,59
240,124,7,19,60
241,124,8,20,60
242,124,9,21,60
243,125,1,19,61
244,125,2,20,61
245,125,3,21,61
246,125,4,19,62
247,125,5,20,62
248,125,6,21,62
249,125,7,19,63
250,125,8,20,63
251,125,9,21,63
288,12,1,4,37
289,12,2,5,37
290,12,3,6,37
291,12,4,4,38
292,12,5,5,38
293,12,6,6,38
294,12,7,4,39
295,12,8,5,39
296,12,9,6,39
378,139,1,22,40
379,139,2,23,40
380,139,3,24,40
381,139,4,22,41
382,139,5,23,41
383,139,6,24,41
384,139,7,22,42
385,139,8,23,42
386,139,9,24,42
387,13,1,4,40
388,13,2,5,40
389,13,3,6,40
390,13,4,4,41
391,13,5,5,41
392,13,6,6,41
393,13,7,4,42
394,13,8,5,42
395,13,9,6,42
396,140,1,22,43
397,140,2,23,43
398,140,3,24,43
399,140,4,22,44
400,140,5,23,44
401,140,6,24,44
402,140,7,22,45
403,140,8,23,45
404,140,9,24,45
405,141,1,22,46
406,141,2,23,46
407,141,3,24,46
408,141,4,22,47
409,141,5,23,47
410,141,6,24,47
411,141,7,22,48
412,141,8,23,48
413,141,9,24,48
414,142,1,22,49
415,142,2,23,49
416,142,3,24,49
417,142,4,22,50
418,142,5,23,50
419,142,6,24,50
420,142,7,22,51
421,142,8,23,51
422,142,9,24,51
423,143,1,22,52
424,143,2,23,52
425,143,3,24,52
426,143,4,22,53
427,143,5,23,53
428,143,6,24,53
429,143,7,22,54
430,143,8,23,54
431,143,9,24,54
432,144,1,22,55
433,144,2,23,55
434,144,3,24,55
435,144,4,22,56
436,144,5,23,56
437,144,6,24,56
438,144,7,22,57
439,144,8,23,57
440,144,9,24,57
441,145,1,22,58
442,145,2,23,58
443,145,3,24,58
444,145,4,22,59
445,145,5,23,59
446,145,6,24,59
447,145,7,22,60
448,145,8,23,60
449,145,9,24,60
