,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep.1,Hep.3,Hep.4,Hep.5,Hep.6,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1
63,107,1,1,3,3,0,0,4,6,57,51,4,1,3,1,3,0,0,0,4,0
64,107,2,0,4,2,0,0,5,8,48,63,1,1,0,0,1,0,0,0,2,0
65,107,3,0,3,0,0,0,2,4,62,57,1,0,1,0,3,0,0,0,2,0
66,107,4,0,1,4,0,0,2,3,49,52,1,1,1,0,9,0,0,0,2,4
67,107,5,0,3,1,0,1,3,5,37,53,2,1,3,2,6,0,0,0,2,1
68,107,6,0,6,1,0,0,5,7,52,46,3,2,1,0,5,0,0,0,2,1
69,107,7,0,3,1,9,0,0,10,56,45,0,6,1,0,4,0,0,0,7,0
70,107,8,0,4,0,0,0,3,4,50,62,0,2,0,2,6,0,0,0,2,1
71,107,9,0,7,1,0,0,6,2,57,33,2,1,0,1,3,0,0,0,4,1
72,108,1,0,0,2,0,1,2,10,51,38,4,3,1,3,3,0,0,0,3,1
73,108,2,1,6,6,0,1,8,6,29,52,1,0,3,2,4,0,0,0,0,1
74,108,3,0,4,3,0,0,21,13,36,27,2,4,2,3,2,0,0,0,7,0
75,108,4,1,3,10,0,1,15,10,30,30,3,3,0,2,4,0,0,0,5,1
76,108,5,1,5,2,1,0,29,12,31,20,5,1,1,2,3,0,0,0,1,0
77,108,6,0,6,5,0,2,29,17,31,11,3,0,0,2,4,0,2,3,9,3
78,108,7,1,1,3,0,0,3,14,44,46,2,4,3,0,8,0,0,0,5,1
79,108,8,0,1,0,0,2,6,14,35,52,7,0,4,2,4,0,0,0,5,2
80,108,9,0,3,4,0,1,3,6,43,60,6,0,0,1,10,0,0,0,6,1
81,109,1,0,4,1,4,0,1,13,65,42,2,1,0,0,4,0,4,0,16,0
82,109,2,0,5,1,3,1,1,19,55,39,3,1,0,2,2,0,3,1,5,0
83,109,3,0,3,0,1,0,0,5,75,46,11,1,0,0,6,0,0,0,2,0
84,109,4,0,1,0,0,0,0,4,70,45,0,2,0,0,3,0,0,0,3,1
85,109,5,0,11,1,3,0,0,12,49,46,2,2,0,0,4,0,10,0,11,2
86,109,6,2,11,1,15,0,0,12,58,39,3,4,1,2,5,0,19,0,25,3
87,109,7,0,5,0,0,0,3,6,45,60,4,1,0,1,5,0,0,0,4,2
88,109,8,0,6,1,0,0,4,3,48,52,7,1,2,1,5,0,0,0,3,3
89,109,9,0,3,3,0,1,5,14,66,39,6,1,3,1,2,0,0,0,6,1
90,10,1,0,6,2,0,0,30,14,38,23,3,2,1,1,6,0,0,0,10,1
91,10,2,0,3,1,0,0,3,5,58,59,8,1,0,1,4,0,0,0,1,3
92,10,3,0,1,1,10,1,0,6,61,56,0,1,1,0,4,0,6,0,13,1
93,10,4,0,7,3,0,0,2,4,44,46,6,9,1,3,7,0,0,0,7,6
94,10,5,0,8,1,2,0,4,6,51,52,5,2,0,2,4,0,1,0,9,3
95,10,6,0,6,1,0,0,0,9,56,63,2,1,3,1,7,0,1,0,11,0
96,10,7,0,5,1,0,0,0,9,58,69,7,1,1,2,5,0,1,0,3,3
97,10,8,0,1,1,11,0,0,19,61,32,0,2,0,0,4,0,11,0,16,1
98,10,9,1,3,0,8,0,1,17,42,61,3,1,0,0,1,0,7,0,17,0
99,110,1,0,3,3,0,0,2,10,68,31,5,1,0,0,5,0,0,0,1,3
100,110,2,0,5,3,0,0,18,11,42,30,4,0,0,0,9,0,0,0,4,4
101,110,3,0,4,3,0,2,8,12,52,32,6,2,4,0,2,0,0,0,3,2
102,110,4,0,4,3,0,0,2,7,54,32,6,1,0,0,5,0,0,0,5,2
103,110,5,0,4,4,0,0,6,11,47,34,2,5,2,0,3,0,0,0,3,2
104,110,6,0,8,3,0,0,10,7,49,43,1,3,3,1,6,0,0,0,3,6
105,110,7,0,5,2,4,0,2,17,74,40,0,2,1,1,3,0,0,0,8,0
106,110,8,0,3,2,0,0,1,8,57,52,3,1,0,0,5,0,0,0,6,3
107,110,9,0,9,5,0,0,5,7,52,59,4,3,1,0,6,0,0,0,6,5
108,111,1,0,4,0,0,0,2,10,69,47,2,3,2,0,3,0,0,0,3,0
109,111,2,0,1,0,0,0,1,9,54,62,4,2,1,3,6,0,0,0,4,1
110,111,3,0,4,3,0,1,0,9,52,53,6,0,0,1,7,0,0,1,5,3
111,111,4,0,4,1,0,3,1,4,47,54,0,1,0,1,9,0,0,0,4,1
112,111,5,0,4,1,0,0,0,10,53,62,4,1,1,1,8,0,0,1,11,0
113,111,6,0,5,0,1,0,1,18,74,50,4,3,0,2,6,0,0,0,11,1
114,111,7,0,4,4,0,1,1,2,46,61,3,2,2,1,10,0,0,0,5,1
115,111,8,0,1,1,1,0,0,13,58,38,1,2,1,2,2,0,9,0,16,3
116,111,9,0,8,0,0,2,0,12,74,57,5,3,0,1,11,0,1,0,12,1
117,112,1,0,2,0,0,0,0,5,64,55,2,7,1,0,4,0,0,0,6,1
118,112,2,0,6,3,0,0,1,8,49,68,2,0,1,1,11,0,0,0,9,1
119,112,3,0,3,1,0,2,1,5,65,66,9,1,2,3,4,0,0,0,7,3
120,112,4,0,1,0,0,0,1,3,53,51,4,10,0,0,5,0,0,0,4,3
121,112,5,0,11,1,0,1,1,9,42,59,7,3,2,4,6,0,0,0,1,4
122,112,6,0,9,3,0,0,1,7,57,49,5,1,1,2,11,0,0,0,4,2
123,112,7,0,9,1,0,0,1,9,42,50,7,3,1,0,6,0,0,1,4,2
124,112,8,0,7,4,0,0,16,14,41,40,11,2,0,1,5,0,0,0,2,4
125,112,9,0,12,3,0,0,10,15,47,54,2,3,3,2,6,0,0,0,5,3
126,113,1,1,5,1,0,0,6,18,42,34,2,1,1,2,4,0,0,0,7,3
127,113,2,0,7,3,0,1,25,21,16,16,2,5,0,1,1,0,0,0,5,0
128,113,3,0,5,3,0,0,17,4,54,44,4,0,4,0,2,0,0,0,5,1
129,113,4,0,5,3,0,0,22,6,46,21,4,3,0,1,3,0,0,0,2,0
130,113,5,0,6,4,0,0,42,23,26,6,3,1,0,1,6,0,0,2,7,0
131,113,6,0,4,1,0,0,10,6,51,39,4,2,1,1,5,0,0,0,3,0
132,113,7,0,5,2,0,0,9,8,60,41,1,2,4,2,3,0,0,0,3,2
133,113,8,0,5,5,0,0,39,14,38,14,3,1,1,0,2,0,1,2,8,1
134,113,9,1,4,4,0,0,18,21,35,31,4,1,2,0,2,0,1,0,5,4
135,114,1,0,3,2,0,0,10,9,12,1,1,2,1,0,1,0,0,1,7,1
136,114,2,0,1,1,0,0,30,13,43,16,3,1,3,0,2,0,0,1,10,0
137,114,3,0,5,4,0,0,11,4,63,40,5,3,2,4,1,0,0,0,8,3
138,114,4,0,5,0,0,0,16,14,45,32,9,2,1,1,7,0,0,0,4,3
139,114,5,0,5,2,0,1,33,11,42,24,1,1,0,2,4,0,0,0,3,2
140,114,6,0,3,2,0,0,4,6,56,46,2,3,1,1,6,0,0,0,3,1
141,114,7,0,7,7,0,0,2,13,48,69,5,7,2,0,6,0,0,0,2,1
142,114,8,0,0,2,0,0,9,3,57,47,2,0,0,1,4,0,0,0,5,0
143,114,9,0,6,1,0,0,3,4,72,52,1,1,0,1,7,0,1,0,1,3
270,128,1,0,2,3,0,0,1,15,78,27,2,0,0,1,3,0,0,0,6,2
271,128,2,0,2,0,1,1,5,9,59,43,1,0,2,3,7,0,0,0,6,1
272,128,3,0,7,0,0,1,1,4,40,37,0,0,4,2,1,0,0,0,1,0
273,128,4,0,4,2,0,0,7,12,50,30,3,1,1,2,8,0,0,0,4,1
274,128,5,0,2,4,0,0,18,6,37,28,0,1,0,1,4,0,0,0,5,0
275,128,6,0,6,5,0,0,12,4,42,24,1,3,0,2,5,0,0,0,2,1
276,128,7,0,7,4,0,0,21,11,49,16,3,1,0,1,4,0,0,0,4,1
277,128,8,1,6,0,0,0,15,18,32,14,0,5,2,2,3,0,1,1,6,1
278,128,9,0,5,0,0,1,4,7,50,29,3,2,1,0,5,0,1,0,4,1
279,129,1,0,5,5,0,0,22,13,28,30,1,5,1,1,5,0,0,0,10,0
280,129,2,0,7,2,0,0,20,20,32,26,4,0,3,2,3,0,0,0,7,1
281,129,3,0,9,4,0,0,7,9,52,43,2,1,0,0,2,0,0,0,5,3
282,129,4,0,9,1,0,1,36,23,22,9,3,4,0,2,4,0,0,3,7,3
283,129,5,2,7,1,0,0,35,17,13,3,2,2,3,5,6,0,1,5,10,0
284,129,6,0,10,3,0,0,26,15,33,26,3,4,0,0,5,0,0,1,4,2
285,129,7,0,8,3,0,3,7,11,57,28,6,3,1,1,7,0,0,0,5,0
286,129,8,0,6,4,0,0,17,24,26,22,2,2,1,1,4,0,0,2,7,0
287,129,9,0,4,2,0,1,22,17,45,37,6,4,1,1,5,0,0,0,7,2
297,130,1,0,4,3,0,2,2,9,55,38,5,0,0,2,3,0,0,0,2,2
298,130,2,0,1,4,0,0,3,7,47,52,3,1,1,2,5,0,0,0,5,0
299,130,3,0,5,2,7,0,4,8,62,50,7,5,1,1,3,0,0,0,12,1
300,130,4,11,26,0,8,0,0,13,39,14,1,13,5,1,3,0,30,1,30,0
301,130,5,5,11,1,4,0,0,20,48,31,3,5,1,2,2,0,8,0,17,0
302,130,6,0,5,2,2,3,2,5,53,50,14,0,0,2,6,0,2,0,6,3
303,130,7,0,4,1,4,0,3,7,59,38,5,1,0,1,5,0,2,0,10,1
304,130,8,6,7,0,13,0,1,12,63,37,2,4,2,2,2,0,18,0,21,0
305,130,9,0,5,2,0,1,5,3,60,48,6,0,2,1,6,0,0,0,2,4
306,131,1,0,5,1,0,0,5,7,57,37,2,0,0,1,6,0,0,0,4,4
307,131,2,0,4,0,2,0,0,7,61,54,4,6,0,1,5,0,0,0,4,0
308,131,3,0,6,4,0,1,9,8,42,50,3,2,0,2,6,0,0,0,4,5
309,131,4,0,3,3,0,0,5,7,58,37,1,4,3,3,2,0,0,0,6,4
310,131,5,0,6,5,0,2,3,5,57,51,5,1,1,0,7,0,0,0,2,1
311,131,6,0,8,0,0,0,15,15,40,34,8,3,1,0,3,0,0,0,6,5
312,131,7,1,6,5,0,0,4,11,41,46,6,5,1,0,6,0,0,0,4,2
313,131,8,0,3,5,0,2,4,6,52,49,3,2,0,2,6,0,0,0,4,1
314,131,9,0,6,3,0,2,4,6,58,68,6,2,3,1,7,0,0,0,8,3
315,132,1,1,4,0,0,0,1,9,51,39,3,2,0,4,8,0,0,0,4,1
316,132,2,0,4,1,16,0,1,12,60,38,2,0,0,0,6,0,7,1,6,0
317,132,3,0,5,0,2,0,3,7,64,55,8,2,2,1,7,0,1,0,8,0
318,132,4,0,3,0,19,1,1,18,54,39,1,6,0,2,3,0,6,0,21,0
319,132,5,1,6,1,6,2,0,19,45,50,6,8,0,1,2,0,3,0,18,0
320,132,6,0,5,2,0,0,10,10,54,47,8,2,1,1,6,0,0,0,3,2
321,132,7,3,15,2,2,0,0,23,21,13,1,11,0,0,1,0,47,0,23,0
322,132,8,1,10,1,6,0,0,3,3,1,0,2,4,0,1,0,79,1,22,0
323,132,9,3,7,2,5,0,0,8,40,41,1,5,3,0,2,0,13,1,21,4
324,133,1,0,6,2,10,0,0,14,49,38,2,7,1,1,1,0,11,1,16,0
325,133,2,8,15,1,7,0,0,9,35,28,2,10,4,1,3,0,18,0,22,1
326,133,3,8,13,0,4,0,1,12,39,40,1,1,1,2,1,0,21,0,36,0
327,133,4,0,3,2,0,1,1,3,41,54,8,1,0,1,10,0,0,0,7,0
328,133,5,0,6,3,0,1,4,10,39,57,10,3,1,3,8,0,0,0,3,0
329,133,6,0,5,2,0,1,0,5,47,61,0,10,0,0,11,0,0,0,9,1
330,133,7,0,2,2,0,4,4,7,49,52,5,3,2,3,0,0,0,0,1,2
