,fov,spot_id,tumor,fibroblast,macrophage,T CD4 memory,T CD8 memory,plasmablast,B-cell,mast,Treg,endothelial,pDC,T CD4 naive,neutrophil,T CD8 naive,NK,monocyte,epithelial,mDC
0,1.0,1.0,0.0,9.0,5.0,1.0,1.0,12.0,15.0,6.0,0.0,40.0,5.0,29.0,6.0,8.0,6.0,0.0,6.0,3.0
1,1.0,2.0,0.0,8.0,11.0,3.0,0.0,7.0,7.0,7.0,0.0,12.0,12.0,17.0,8.0,6.0,3.0,0.0,7.0,7.0
2,1.0,3.0,3.0,8.0,3.0,3.0,0.0,8.0,17.0,5.0,3.0,11.0,4.0,22.0,3.0,7.0,0.0,0.0,10.0,1.0
3,1.0,4.0,32.0,2.0,4.0,2.0,0.0,4.0,10.0,0.0,4.0,17.0,4.0,8.0,4.0,3.0,2.0,1.0,13.0,8.0
4,1.0,5.0,7.0,2.0,9.0,0.0,0.0,3.0,1.0,1.0,0.0,27.0,0.0,7.0,5.0,2.0,3.0,3.0,10.0,3.0
5,1.0,6.0,0.0,11.0,12.0,1.0,0.0,7.0,4.0,6.0,0.0,28.0,4.0,8.0,5.0,3.0,2.0,0.0,11.0,1.0
6,1.0,7.0,93.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,3.0,0.0
7,1.0,8.0,13.0,18.0,18.0,0.0,1.0,27.0,3.0,7.0,0.0,45.0,9.0,8.0,4.0,3.0,2.0,0.0,12.0,4.0
8,1.0,9.0,2.0,12.0,5.0,1.0,0.0,8.0,0.0,7.0,0.0,42.0,0.0,2.0,14.0,0.0,8.0,0.0,18.0,2.0
9,1.0,10.0,0.0,6.0,9.0,0.0,0.0,3.0,0.0,5.0,0.0,24.0,4.0,2.0,11.0,1.0,4.0,3.0,3.0,2.0
10,1.0,11.0,1.0,12.0,17.0,0.0,0.0,3.0,0.0,3.0,0.0,19.0,5.0,5.0,16.0,2.0,3.0,2.0,7.0,1.0
11,1.0,12.0,4.0,6.0,8.0,0.0,0.0,7.0,1.0,3.0,0.0,32.0,3.0,3.0,12.0,1.0,3.0,0.0,19.0,2.0
12,1.0,13.0,0.0,14.0,10.0,0.0,0.0,3.0,1.0,5.0,0.0,37.0,0.0,0.0,4.0,1.0,0.0,0.0,8.0,1.0
13,1.0,14.0,1.0,10.0,12.0,1.0,0.0,4.0,3.0,1.0,0.0,27.0,0.0,4.0,6.0,4.0,2.0,1.0,6.0,0.0
14,1.0,15.0,0.0,12.0,5.0,1.0,0.0,5.0,7.0,8.0,0.0,48.0,2.0,11.0,12.0,3.0,4.0,0.0,10.0,1.0
15,1.0,16.0,0.0,14.0,10.0,0.0,0.0,12.0,2.0,3.0,1.0,40.0,10.0,6.0,4.0,2.0,6.0,2.0,10.0,7.0
16,1.0,17.0,1.0,6.0,10.0,0.0,1.0,1.0,1.0,1.0,0.0,37.0,2.0,3.0,10.0,2.0,6.0,0.0,13.0,2.0
17,1.0,18.0,1.0,15.0,15.0,6.0,0.0,9.0,2.0,5.0,1.0,35.0,7.0,2.0,9.0,1.0,5.0,1.0,11.0,2.0
18,1.0,19.0,1.0,15.0,10.0,2.0,0.0,17.0,8.0,6.0,1.0,26.0,12.0,6.0,6.0,2.0,4.0,1.0,8.0,6.0
19,1.0,20.0,0.0,25.0,12.0,0.0,1.0,22.0,11.0,5.0,0.0,29.0,17.0,13.0,10.0,0.0,7.0,0.0,3.0,2.0
20,2.0,1.0,0.0,17.0,6.0,2.0,0.0,5.0,30.0,0.0,0.0,25.0,6.0,15.0,1.0,2.0,2.0,0.0,25.0,0.0
21,2.0,2.0,0.0,45.0,4.0,4.0,0.0,29.0,29.0,6.0,1.0,29.0,13.0,25.0,3.0,12.0,3.0,0.0,20.0,8.0
22,2.0,3.0,0.0,36.0,6.0,5.0,0.0,16.0,3.0,7.0,3.0,26.0,7.0,7.0,2.0,3.0,1.0,1.0,17.0,7.0
