,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1,tumor_1,tumor_2
63,107,1,0,16,3,0,0,0,11,7,0,2,0,2,0,2,0,143,0
64,107,2,0,4,0,0,0,0,2,2,0,2,0,0,1,1,0,136,4
65,107,3,0,2,1,0,0,0,2,1,1,2,0,2,0,1,0,110,6
66,107,4,0,4,1,0,0,0,3,2,0,8,0,5,1,0,0,187,0
67,107,5,1,9,1,0,0,0,5,2,0,6,0,5,0,3,0,123,0
68,107,6,0,2,0,0,0,0,7,1,0,9,0,3,2,0,0,109,0
69,107,7,0,3,2,0,0,0,6,2,0,1,0,3,0,0,2,172,0
70,107,8,0,4,0,0,0,0,0,2,0,6,0,2,0,0,0,145,0
71,107,9,0,6,1,0,0,0,2,0,0,4,0,2,1,1,0,141,0
72,108,1,0,4,0,0,0,0,2,2,0,5,0,0,0,1,0,156,0
73,108,2,0,3,0,0,0,0,1,0,0,2,0,7,0,0,0,153,0
74,108,3,0,2,2,0,0,0,3,1,1,5,0,1,1,0,0,146,0
75,108,4,0,0,0,0,0,0,1,0,0,3,0,19,0,10,0,144,0
76,108,5,0,2,1,0,0,0,2,0,0,3,0,1,1,0,1,124,0
77,108,6,0,5,1,0,0,0,0,0,0,2,0,0,0,0,0,136,0
78,108,7,0,4,0,0,0,0,1,0,0,1,0,1,0,3,1,152,0
79,108,8,0,4,0,0,0,0,5,0,0,0,0,6,0,3,1,155,0
80,108,9,0,3,3,0,1,0,1,0,0,3,0,2,0,2,0,156,0
81,109,1,0,2,1,0,0,0,1,0,0,3,0,0,0,0,0,119,0
82,109,2,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,115,0
83,109,3,0,7,2,0,0,0,4,0,0,4,0,7,1,1,0,164,0
84,109,4,0,2,0,0,0,0,1,0,0,4,0,2,0,0,0,113,0
85,109,5,0,1,0,0,0,0,2,0,0,6,0,2,0,1,0,127,0
86,109,6,0,3,1,0,0,0,0,0,0,3,0,7,0,3,1,147,0
87,109,7,1,2,2,0,0,0,1,0,0,0,0,4,0,0,1,114,0
88,109,8,0,2,0,0,0,0,2,2,0,7,0,6,1,0,0,125,0
89,109,9,0,2,0,0,0,0,3,0,0,3,0,4,0,1,0,132,0
90,10,1,0,1,0,0,0,0,1,1,0,0,0,8,1,1,0,103,0
91,10,2,0,4,3,0,0,0,1,1,0,2,0,6,0,3,0,99,0
92,10,3,0,4,0,0,0,0,1,0,0,0,0,3,0,0,0,98,0
93,10,4,0,0,0,0,2,0,1,0,0,3,0,3,0,0,0,95,0
94,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,103,0
95,10,6,0,2,0,0,0,0,1,0,0,3,0,1,0,0,0,63,0
96,10,7,0,0,1,0,0,0,1,0,0,3,0,9,0,5,0,113,0
97,10,8,0,2,0,0,0,0,0,0,0,3,0,10,0,2,0,106,0
98,10,9,0,0,0,0,0,0,1,0,0,4,0,3,0,1,0,85,0
99,110,1,0,10,0,0,1,0,8,0,0,6,0,0,0,1,0,158,0
100,110,2,0,2,1,0,0,0,3,0,0,2,0,3,0,0,0,148,0
101,110,3,0,3,3,0,0,0,0,2,0,3,0,6,0,0,1,144,0
102,110,4,0,6,3,0,0,0,2,1,0,6,0,3,0,0,0,136,0
103,110,5,0,0,1,0,0,0,0,1,0,5,0,2,0,0,0,128,0
104,110,6,0,1,0,0,0,0,3,0,0,0,0,4,0,1,0,113,0
105,110,7,0,3,0,0,0,0,3,8,0,9,0,14,1,4,0,120,0
106,110,8,1,3,2,0,1,0,4,1,0,5,0,5,1,2,1,98,0
107,110,9,0,1,1,0,1,0,9,4,0,9,0,15,0,5,0,127,0
108,111,1,0,15,1,0,0,0,6,2,0,2,0,8,0,7,1,134,1
