,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1,tumor_1,tumor_2
981,207,1,6,4,1,5,0,0,4,10,0,0,0,6,0,5,0,116,43
982,207,2,1,11,0,4,0,0,7,0,0,0,0,2,0,5,0,45,37
983,207,3,2,29,2,11,0,0,22,2,2,0,0,3,0,5,2,45,27
984,207,4,0,30,4,14,0,0,10,5,1,0,0,6,3,5,1,18,9
985,207,5,0,21,1,4,0,0,19,2,3,0,0,0,1,0,0,31,20
986,207,6,0,13,0,5,0,0,8,3,0,1,0,0,1,0,0,17,64
987,207,7,0,5,0,8,0,0,18,3,0,0,0,2,0,0,0,11,24
988,207,8,0,8,1,4,0,0,10,1,0,3,0,6,0,2,0,51,22
989,207,9,0,6,0,0,0,0,0,0,0,1,0,2,0,2,0,93,6
990,208,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,98,9
991,208,2,0,3,1,0,0,0,1,0,0,0,0,3,1,2,0,73,0
992,208,3,0,4,0,0,0,0,3,1,0,3,0,3,1,0,0,91,0
993,208,4,0,2,0,0,0,0,0,0,0,1,0,3,0,0,0,125,14
994,208,5,0,6,0,0,0,0,0,1,0,2,0,7,2,2,1,125,1
995,208,6,0,3,2,0,1,0,5,1,0,3,0,3,1,1,0,108,0
996,208,7,0,0,0,1,0,0,1,0,0,0,0,3,0,2,0,87,5
997,208,8,2,4,0,0,0,0,0,2,0,1,0,3,0,2,0,66,15
998,208,9,1,7,0,0,0,0,0,1,0,1,0,3,0,4,0,125,0
999,209,1,0,3,1,0,0,0,2,1,0,2,0,1,1,0,0,91,25
1000,209,2,0,3,2,0,0,0,2,0,0,1,0,8,0,2,0,124,0
1001,209,3,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,113,8
1002,209,4,1,7,0,0,0,0,1,0,0,2,0,3,2,0,0,93,18
1003,209,5,0,3,2,0,0,0,2,0,0,0,0,9,0,2,0,95,0
1004,209,6,0,3,2,0,1,0,5,0,0,4,0,7,0,2,0,115,0
1005,209,7,0,1,1,0,0,0,0,0,0,2,0,2,0,1,0,85,6
1006,209,8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,93,0
1007,209,9,0,2,1,0,0,0,0,0,0,1,0,11,1,1,0,141,0
1017,210,1,0,1,1,1,0,0,1,1,0,0,0,2,0,1,0,75,18
1018,210,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,90,33
1019,210,3,0,1,1,0,0,0,1,0,1,1,0,4,0,1,0,154,9
1020,210,4,0,11,0,7,1,0,0,2,0,0,0,3,0,2,0,50,69
1021,210,5,0,3,0,1,0,0,1,0,0,0,0,1,0,1,1,60,79
1022,210,6,0,6,2,0,0,0,0,2,0,1,0,0,0,0,0,78,73
1023,210,7,0,3,0,2,0,0,2,0,0,1,0,3,0,0,1,110,11
1024,210,8,0,4,0,1,0,0,0,0,1,0,0,2,0,1,0,103,18
1025,210,9,0,11,0,3,0,0,8,0,0,2,0,3,0,3,1,77,23
1026,211,1,0,4,1,0,0,0,4,0,0,0,0,6,0,0,0,168,33
1027,211,2,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,42,93
1028,211,3,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,69,59
1029,211,4,0,6,2,2,0,0,1,0,0,0,0,4,0,2,0,70,59
1030,211,5,0,3,0,3,0,0,1,0,0,0,0,2,0,3,0,44,54
1031,211,6,0,6,1,0,0,0,6,1,0,0,0,1,0,1,0,20,26
