,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,1,229,221,219,74,242,299,234,279,308,279,243,280,236,282,268,241,9,173,253,295
1,2,209,259,74,0,223,227,208,103,249,238,217,152,167,204,220,252,4,146,190,208
2,3,210,213,71,0,213,193,216,40,263,230,249,180,170,198,249,226,21,224,277,203
3,4,211,226,117,0,249,280,167,98,302,196,215,248,53,221,226,207,0,110,248,234
4,5,215,212,15,0,192,232,213,11,244,169,247,118,214,175,252,221,83,233,222,195
5,6,240,193,202,31,216,180,259,230,197,272,206,174,21,191,163,177,0,67,223,154
6,7,192,192,227,35,132,176,167,181,254,219,262,257,99,215,190,199,0,123,182,236
7,8,205,237,206,35,254,209,249,193,289,254,270,200,137,192,177,225,10,235,286,200
8,9,247,218,285,30,264,260,258,187,213,249,195,269,202,169,166,234,50,222,202,163
9,10,218,267,219,16,242,246,216,147,217,193,259,235,126,246,263,231,3,147,275,224
10,11,214,197,1,0,244,257,86,0,255,289,157,1,213,244,238,125,52,112,214,180
11,12,251,279,331,195,303,270,235,227,222,250,255,206,195,293,194,238,148,259,252,205
12,13,170,191,160,3,298,256,262,129,223,272,264,231,143,226,237,230,19,244,174,159
