,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,9,0,2,12,33,143,119,149,164,154,169,160,192,229,199,183,125,35,43,13,7
1,10,16,34,51,13,29,97,118,71,139,152,108,123,145,153,133,111,69,139,64,0
2,11,3,11,44,79,68,105,58,94,65,50,16,5,93,51,13,0,21,22,19,1
3,12,33,47,8,16,89,69,56,110,94,63,72,99,22,63,88,60,58,40,81,28
4,13,32,38,8,0,84,124,129,148,115,122,128,167,49,43,134,140,2,1,29,80
5,14,123,37,20,0,158,94,80,80,128,147,192,187,55,125,139,140,2,30,46,147
6,15,149,91,14,2,243,221,194,79,166,167,174,166,126,140,164,161,4,17,36,130
7,16,140,96,8,0,210,210,163,33,183,209,203,219,113,180,218,151,2,45,114,205
8,17,158,61,1,0,217,254,129,12,225,215,224,181,151,156,183,162,22,162,197,174
9,18,33,2,1,0,168,173,87,86,173,162,137,147,90,128,80,16,0,0,1,0
10,19,0,0,3,0,0,5,16,25,118,127,93,121,181,190,124,138,68,56,16,18
11,20,0,0,2,0,6,2,44,2,41,46,89,72,60,23,35,71,56,3,13,59
12,21,2,15,0,0,91,28,25,0,119,90,63,46,22,106,135,136,6,12,70,38
13,22,20,0,1,0,154,203,146,66,150,191,159,137,2,63,170,138,0,1,9,78
14,23,50,3,0,0,166,191,127,23,1,31,194,171,0,0,48,219,0,0,1,50
15,24,1,0,0,0,148,57,0,0,197,196,82,1,14,115,136,148,0,0,2,66
