,fov,spot_id,Ascending.vasa.recta.endothelium,B-cell,Connecting.tubule,Descending.vasa.recta.endothelium,Distinct.proximal.tubule.1,Distinct.proximal.tubule.2,Epithelial.progenitor.cell,Fibroblast,Glomerular.endothelium,Indistinct.intercalated.cell,MNP.a.classical.monocyte.derived,MNP.b.non.classical.monocyte.derived,MNP.c.dendritic.cell,Myofibroblast,NK,Pelvic.epithelium,Peritubular.capillary.endothelium.1,Peritubular.capillary.endothelium.2,Podocyte,Principal.cell,Proliferating.Proximal.Tubule,Proximal.tubule,T CD4 memory,T CD4 naive,T CD8 memory,T CD8 naive,Thick.ascending.limb.of.Loop.of.Henle,Transitional.urothelium,Treg,Type.A.intercalated.cell,Type.B.intercalated.cell,mDC,macrophage,mast,monocyte,neutrophil,pDC,plasmablast
0,1.0,1.0,11.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1.0,2.0,16.0,0.0,7.0,2.0,9.0,15.0,24.0,2.0,2.0,1.0,0.0,0.0,3.0,16.0,0.0,1.0,9.0,1.0,7.0,1.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2,1.0,3.0,4.0,0.0,20.0,0.0,4.0,19.0,2.0,7.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,6.0,2.0,1.0,5.0,13.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.0,5.0,3.0,0.0,3.0,1.0,8.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5,1.0,6.0,6.0,0.0,7.0,2.0,22.0,17.0,5.0,3.0,1.0,0.0,0.0,0.0,2.0,6.0,0.0,1.0,2.0,2.0,3.0,4.0,24.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6,1.0,7.0,6.0,0.0,27.0,0.0,8.0,13.0,6.0,4.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,0.0,1.0,4.0,9.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.0,8.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.0,9.0,7.0,0.0,11.0,1.0,11.0,12.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,1.0,10.0,11.0,0.0,25.0,1.0,8.0,11.0,5.0,11.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,1.0,11.0,17.0,0.0,10.0,4.0,8.0,6.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0,1.0,4.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.0,12.0,5.0,0.0,16.0,0.0,3.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
12,1.0,13.0,11.0,0.0,2.0,3.0,17.0,6.0,6.0,4.0,27.0,0.0,1.0,1.0,6.0,28.0,0.0,0.0,13.0,1.0,10.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0
13,1.0,14.0,5.0,1.0,0.0,1.0,12.0,7.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14,1.0,15.0,21.0,0.0,8.0,2.0,50.0,8.0,1.0,10.0,2.0,0.0,0.0,0.0,8.0,14.0,1.0,1.0,18.0,2.0,6.0,1.0,3.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
15,1.0,16.0,16.0,0.0,4.0,3.0,13.0,17.0,1.0,4.0,7.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,6.0,0.0,3.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
16,1.0,17.0,15.0,0.0,4.0,5.0,31.0,11.0,11.0,5.0,7.0,0.0,0.0,1.0,7.0,14.0,0.0,1.0,16.0,5.0,16.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
17,1.0,18.0,14.0,0.0,1.0,1.0,18.0,13.0,6.0,6.0,3.0,0.0,0.0,1.0,3.0,9.0,1.0,1.0,1.0,0.0,4.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
18,1.0,19.0,28.0,0.0,1.0,8.0,45.0,5.0,12.0,11.0,30.0,1.0,2.0,4.0,17.0,33.0,0.0,0.0,21.0,5.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0
19,1.0,20.0,6.0,0.0,0.0,1.0,17.0,17.0,12.0,3.0,0.0,0.0,0.0,1.0,4.0,9.0,0.0,0.0,4.0,5.0,2.0,2.0,12.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.0,1.0,9.0,0.0,0.0,2.0,64.0,7.0,17.0,4.0,1.0,0.0,1.0,0.0,3.0,10.0,0.0,5.0,5.0,2.0,1.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2.0,2.0,7.0,0.0,6.0,1.0,56.0,13.0,28.0,7.0,3.0,0.0,1.0,1.0,5.0,6.0,0.0,2.0,5.0,1.0,0.0,16.0,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22,2.0,3.0,27.0,0.0,0.0,7.0,21.0,10.0,1.0,4.0,25.0,0.0,0.0,2.0,6.0,36.0,0.0,0.0,38.0,2.0,20.0,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2.0,4.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2.0,5.0,14.0,0.0,4.0,4.0,64.0,7.0,16.0,10.0,1.0,0.0,2.0,1.0,12.0,12.0,0.0,6.0,5.0,5.0,11.0,9.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
25,2.0,6.0,13.0,0.0,1.0,0.0,59.0,12.0,16.0,2.0,0.0,0.0,1.0,3.0,6.0,7.0,0.0,6.0,2.0,1.0,2.0,8.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
26,2.0,7.0,20.0,0.0,9.0,1.0,11.0,9.0,8.0,2.0,6.0,0.0,0.0,0.0,2.0,16.0,0.0,1.0,12.0,1.0,9.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
27,2.0,8.0,12.0,0.0,12.0,1.0,12.0,21.0,11.0,5.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,2.0,10.0,0.0,2.0,0.0,14.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
28,2.0,9.0,19.0,0.0,1.0,2.0,16.0,8.0,5.0,3.0,9.0,0.0,0.0,1.0,5.0,9.0,0.0,0.0,10.0,2.0,1.0,2.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
29,2.0,10.0,11.0,1.0,8.0,1.0,58.0,21.0,13.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2.0,11.0,27.0,0.0,1.0,2.0,69.0,15.0,11.0,12.0,1.0,0.0,0.0,2.0,27.0,9.0,1.0,2.0,2.0,2.0,1.0,1.0,11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,1.0
31,2.0,12.0,17.0,0.0,3.0,6.0,73.0,15.0,17.0,4.0,1.0,0.0,1.0,0.0,7.0,16.0,0.0,1.0,3.0,1.0,1.0,3.0,19.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,2.0,13.0,2.0,0.0,0.0,1.0,16.0,15.0,16.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,11.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2.0,14.0,10.0,0.0,11.0,0.0,46.0,19.0,14.0,7.0,0.0,0.0,0.0,1.0,8.0,11.0,0.0,1.0,5.0,1.0,2.0,7.0,30.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
34,2.0,15.0,14.0,0.0,9.0,4.0,78.0,10.0,11.0,5.0,1.0,0.0,0.0,0.0,10.0,9.0,1.0,3.0,1.0,2.0,6.0,4.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
35,2.0,16.0,13.0,0.0,5.0,2.0,69.0,21.0,14.0,5.0,1.0,0.0,1.0,0.0,10.0,7.0,0.0,0.0,4.0,0.0,4.0,10.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2.0,18.0,19.0,0.0,3.0,2.0,30.0,20.0,4.0,10.0,2.0,0.0,1.0,1.0,20.0,7.0,1.0,0.0,2.0,0.0,6.0,6.0,5.0,9.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
38,2.0,19.0,38.0,0.0,17.0,8.0,32.0,14.0,11.0,11.0,5.0,0.0,1.0,3.0,14.0,41.0,0.0,0.0,10.0,1.0,7.0,0.0,7.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,10.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
39,2.0,20.0,3.0,0.0,2.0,1.0,58.0,29.0,5.0,2.0,0.0,0.0,1.0,2.0,3.0,6.0,1.0,0.0,2.0,2.0,4.0,1.0,31.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,3.0,1.0,17.0,0.0,5.0,4.0,12.0,23.0,8.0,1.0,2.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,5.0,4.0,3.0,9.0,37.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
41,3.0,2.0,30.0,3.0,4.0,6.0,34.0,37.0,7.0,13.0,1.0,0.0,0.0,1.0,19.0,4.0,1.0,0.0,4.0,0.0,1.0,2.0,9.0,33.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,5.0
