,fov,spot-id=1,spot-id=2,spot-id=3,spot-id=4,spot-id=5,spot-id=6,spot-id=7,spot-id=8,spot-id=9,spot-id=10,spot-id=11,spot-id=12,spot-id=13,spot-id=14,spot-id=15,spot-id=16,spot-id=17,spot-id=18,spot-id=19,spot-id=20
0,1,43,159,137,0,55,132,110,6,88,107,116,66,159,56,180,98,172,116,250,131
1,2,186,205,219,25,206,177,125,153,119,156,208,195,90,192,192,186,3,157,255,174
2,3,192,232,191,230,180,203,142,152,193,233,201,138,68,147,214,173,0,114,156,146
3,4,219,49,0,0,156,188,45,0,205,187,222,35,186,155,223,160,221,189,197,249
4,5,179,201,171,96,141,245,222,281,226,191,172,214,142,179,203,171,25,181,242,159
5,6,253,240,195,118,229,218,161,168,175,215,151,192,84,221,271,164,13,216,174,129
6,7,224,207,156,96,204,216,153,149,284,184,124,124,179,153,131,130,136,168,180,62
7,8,206,191,124,121,226,151,159,126,196,166,147,101,243,178,130,93,242,157,55,45
8,9,133,146,76,22,162,127,27,92,124,71,112,72,146,96,67,117,165,92,49,109
9,10,87,9,13,104,167,160,91,96,147,103,77,129,128,106,118,134,117,117,134,109
10,11,157,193,141,121,205,109,160,160,81,132,106,70,39,174,143,86,0,115,121,139
11,12,78,133,124,41,181,90,103,124,64,144,104,77,0,58,102,94,0,0,22,103
12,13,33,50,56,39,27,105,88,87,81,56,89,116,43,62,70,56,37,73,64,14
13,14,66,104,67,24,97,68,38,38,88,92,62,96,103,111,101,96,74,118,65,85
14,15,130,109,95,2,124,62,107,122,103,73,92,73,77,107,104,147,31,92,21,63
15,16,113,117,134,118,90,120,101,123,116,88,90,120,87,55,126,116,60,133,101,127
16,17,88,93,158,59,81,101,165,54,93,135,170,124,65,137,144,163,97,106,161,104
