,fov,spot_id,Antibody.secreting.B.cells,CD3+.alpha.beta.T.cells,Central.venous.LSECs,Cholangiocytes,Erthyroid.cells,Hep,Inflammatory.macrophages,Mature.B.cells,NK.like.cells,Non.inflammatory.macrophages,NotDet,Periportal.LSECs,Portal.endothelial.cells,Stellate.cells,gamma.delta.T.cells.1,tumor_1,tumor_2
0,100,1,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,98,42
1,100,2,0,1,0,0,0,0,6,1,1,3,0,2,0,0,0,32,98
2,100,3,0,0,1,0,0,0,2,0,0,1,0,2,0,1,0,94,33
3,100,4,0,5,0,0,0,0,2,1,0,0,0,0,0,5,0,58,75
4,100,5,0,1,0,1,0,0,2,1,0,1,0,1,3,1,0,54,64
5,100,6,0,3,0,0,0,0,4,0,1,1,0,5,0,2,0,60,30
6,100,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,49,64
7,100,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,108,11
8,100,9,0,3,0,0,0,0,2,2,1,0,0,0,1,2,0,60,38
9,101,1,0,2,1,0,0,0,1,0,0,2,0,3,0,1,0,115,8
10,101,2,0,1,1,0,0,0,0,0,0,0,0,2,1,1,0,96,13
11,101,3,0,3,2,0,0,0,2,0,1,2,0,6,1,1,0,108,3
12,101,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,22
13,101,5,0,3,0,0,0,0,3,2,0,4,0,2,0,0,0,52,6
14,101,6,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,40,34
15,101,7,0,2,0,2,0,0,11,0,0,2,0,9,0,4,0,87,46
16,101,8,0,1,0,0,0,0,7,0,1,1,0,2,1,7,0,84,32
17,101,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,132,27
18,102,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,88,95
19,102,2,0,2,0,1,0,0,1,0,1,2,0,6,0,2,0,81,36
20,102,3,0,2,2,0,0,0,0,1,0,1,0,7,0,2,1,140,4
21,102,4,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,74,40
22,102,5,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,46,24
23,102,6,0,1,0,0,0,0,2,0,0,1,0,1,0,0,0,113,18
24,102,7,0,4,0,0,0,0,1,1,0,0,0,1,0,4,0,195,21
25,102,8,1,1,0,0,0,0,0,1,0,1,0,1,0,2,0,74,34
26,102,9,0,0,0,1,0,0,5,1,0,0,0,1,1,5,0,113,2
27,103,1,0,3,0,0,0,0,1,0,0,0,0,1,0,2,0,133,115
28,103,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,120,22
29,103,3,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,87,31
30,103,4,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,140,0
31,103,5,2,1,0,0,0,0,0,0,0,3,0,3,0,2,0,135,0
32,103,6,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,136,13
33,103,7,0,2,1,0,0,0,3,1,0,1,0,2,0,1,0,139,5
34,103,8,0,8,0,0,0,0,2,4,1,1,0,4,0,0,0,145,0
35,103,9,0,1,0,0,0,0,0,1,0,2,0,3,0,1,0,131,17
36,104,1,0,4,0,0,0,0,1,2,0,2,0,7,0,4,0,165,0
37,104,2,0,3,0,0,0,0,3,0,0,1,0,8,0,8,0,126,1
38,104,3,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,56,52
39,104,4,0,4,1,1,0,0,0,0,0,0,0,4,0,2,0,120,2
40,104,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,102,17
41,104,6,0,6,0,0,0,0,2,1,0,3,0,5,0,3,0,126,1
42,104,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45,68
43,104,8,0,4,0,0,0,0,0,0,0,0,0,2,0,1,0,82,10
44,104,9,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,82,30
45,105,1,0,1,0,0,0,0,1,1,0,0,0,2,0,1,0,75,50
46,105,2,0,4,0,0,1,0,2,1,0,1,0,1,1,1,0,105,3
47,105,3,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,92,0
48,105,4,0,1,0,0,0,0,3,2,0,2,0,3,0,1,0,130,1
49,105,5,0,2,0,0,0,0,3,1,0,0,0,3,1,1,0,135,1
50,105,6,0,2,0,1,0,0,2,3,0,1,0,2,2,3,0,87,41
51,105,7,0,2,0,0,0,0,2,1,0,3,0,2,0,1,0,121,5
52,105,8,0,7,0,0,0,0,3,3,0,1,0,7,0,2,0,92,13
53,105,9,0,2,0,0,0,0,4,2,0,0,0,0,0,1,0,111,12
54,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,9
55,106,2,0,2,0,0,0,0,2,1,0,1,0,0,0,0,0,120,6
56,106,3,0,0,0,0,0,0,4,0,0,1,0,1,0,3,0,97,26
57,106,4,0,3,1,0,0,0,4,0,0,1,0,0,0,1,0,88,0
58,106,5,2,4,0,1,0,0,4,2,1,0,0,2,0,0,0,71,13
59,106,6,0,1,0,0,0,0,1,2,0,0,0,1,0,0,0,58,46
60,106,7,1,2,1,0,0,0,4,2,0,2,0,0,1,3,0,14,0
61,106,8,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,21,0
62,106,9,0,3,0,1,0,0,3,0,0,1,0,0,0,2,0,91,10
180,119,1,0,2,0,2,0,0,11,1,0,0,0,0,0,1,0,13,97
181,119,2,0,3,0,1,1,0,3,1,1,0,0,6,0,2,0,84,37
182,119,3,0,3,3,0,0,0,3,0,0,4,0,8,0,1,0,102,23
183,119,4,0,1,0,0,0,0,3,0,0,0,0,1,0,6,0,61,76
184,119,5,1,1,1,0,0,0,2,0,0,1,0,0,1,0,0,28,67
